500000000003|499000000003
250000000001|249000000001
125000000000|124000000000
62499999999|61499999999
31249999999|30249999999
15624999999|14624999999
7812499999|6812499999
3906249999|2906249999
1953124999|953124999
2929687499|1929687499
2441406249|1441406249
2197265624|1197265624
2075195311|1075195311
2014160155|1014160155
1983642577|983642577
1998901366|998901366
2006530760|1006530760
2002716063|1002716063
2000808714|1000808714
1999855040|999855040
2000331877|1000331877
2000093458|1000093458
1999974249|999974249
2000033853|1000033853
2000004051|1000004051
1999989150|999989150
1999996600|999996600
2000000325|1000000325
1999998462|999998462
1999999393|999999393
1999999859|999999859
2000000092|1000000092
1999999975|999999975
2000000033|1000000033
2000000004|1000000004
1999999989|999999989
1999999996|999999996
2000000000|1000000000
2000000002|1000000002
2000000001|1000000001
2000000000
